Diseases,Symptoms,,,,,,,,,,
Deep vein thrombosis, leg pains, redness in affected area,,,,,,,,,
Deep vein thrombosis,swelling, redness in affected area,,,,,,,,,
Deep vein thrombosis,swelling, leg pains,,,,,,,,,
Depression,persistent sadness, loss of interest or pleasure, change in appetite, fatigue,,,,,,,
Depression, loss of interest or pleasure, change in appetite, fatigue,,,,,,,,
Depression,persistent sadness, change in appetite, fatigue,,,,,,,,
Depression,persistent sadness, loss of interest or pleasure, fatigue,,,,,,,,
Depression,persistent sadness, loss of interest or pleasure, change in appetite,,,,,,,,
Eating Disorders ,weight loss, preoccupation with food, distorted body image, secretive eating habits,,,,,,,
Eating Disorders , preoccupation with food, distorted body image, secretive eating habits,,,,,,,,
Eating Disorders ,weight loss, distorted body image, secretive eating habits,,,,,,,,
Eating Disorders ,weight loss, preoccupation with food, secretive eating habits,,,,,,,,
Eating Disorders ,weight loss, preoccupation with food, distorted body image,,,,,,,,
Endometriosis,pelvic pain, painful periods, pain during sex, infertility, fatigue, painful urination, diarrhea, constipation,,,
Endometriosis, painful periods, pain during sex, infertility, fatigue, painful urination, diarrhea, constipation,,,,
Endometriosis,pelvic pain, pain during sex, infertility, fatigue, painful urination, diarrhea, constipation,,,,
Endometriosis,pelvic pain, painful periods, infertility, fatigue, painful urination, diarrhea, constipation,,,,
Endometriosis,pelvic pain, painful periods, pain during sex, fatigue, painful urination, diarrhea, constipation,,,,
Endometriosis,pelvic pain, painful periods, pain during sex, infertility, painful urination, diarrhea, constipation,,,,
Endometriosis,pelvic pain, painful periods, pain during sex, infertility, fatigue, diarrhea, constipation,,,,
Endometriosis,pelvic pain, painful periods, pain during sex, infertility, fatigue, painful urination, constipation,,,,
Endometriosis,pelvic pain, painful periods, pain during sex, infertility, fatigue, painful urination, diarrhea,,,,
Fibromyalgia,muscle pain, fatigue, sleep disturbances, joint pain, headaches, insomnia,,,,,
Fibromyalgia, fatigue, sleep disturbances, joint pain, headaches, insomnia,,,,,,
Fibromyalgia,muscle pain, sleep disturbances, joint pain, headaches, insomnia,,,,,,
Fibromyalgia,muscle pain, fatigue, joint pain, headaches, insomnia,,,,,,
Fibromyalgia,muscle pain, fatigue, sleep disturbances, headaches, insomnia,,,,,,
Fibromyalgia,muscle pain, fatigue, sleep disturbances, joint pain, insomnia,,,,,,
Fibromyalgia,muscle pain, fatigue, sleep disturbances, joint pain, headaches,,,,,,
Gestational Diabetes,excessive thirst, frequent urination, fatigue, blurred vision, increased hunger during pregnancy,,,,,,
Gestational Diabetes, frequent urination, fatigue, blurred vision, increased hunger during pregnancy,,,,,,,
Gestational Diabetes,excessive thirst, fatigue, blurred vision, increased hunger during pregnancy,,,,,,,
Gestational Diabetes,excessive thirst, frequent urination, blurred vision, increased hunger during pregnancy,,,,,,,
Gestational Diabetes,excessive thirst, frequent urination, fatigue, increased hunger during pregnancy,,,,,,,
Gestational Diabetes,excessive thirst, frequent urination, fatigue, blurred vision,,,,,,,
Gestational Hypertension (Preeclampsia) ,high blood pressure during pregnancy, swelling, headaches, vision changes, pain in lower abdomen,,,,,,
Gestational Hypertension (Preeclampsia) , swelling, headaches, vision changes, pain in lower abdomen,,,,,,,
Gestational Hypertension (Preeclampsia) ,high blood pressure during pregnancy, headaches, vision changes, pain in lower abdomen,,,,,,,
Gestational Hypertension (Preeclampsia) ,high blood pressure during pregnancy, swelling, vision changes, pain in lower abdomen,,,,,,,
Gestational Hypertension (Preeclampsia) ,high blood pressure during pregnancy, swelling, headaches, pain in lower abdomen,,,,,,,
Gestational Hypertension (Preeclampsia) ,high blood pressure during pregnancy, swelling, headaches, vision changes,,,,,,,
Gynecological Infections ,itching, burning, abnormal vaginal discharge, pain during sex, irritability,,,,,,
Gynecological Infections , burning, abnormal vaginal discharge, pain during sex, irritability,,,,,,,
Gynecological Infections ,itching, abnormal vaginal discharge, pain during sex, irritability,,,,,,,
Gynecological Infections ,itching, burning, pain during sex, irritability,,,,,,,
Gynecological Infections ,itching, burning, abnormal vaginal discharge, irritability,,,,,,,
Gynecological Infections ,itching, burning, abnormal vaginal discharge, pain during sex,,,,,,,
Harmone imbalances,irregular periods, mood swings, fatigue, weight changes,,,,,,,
Harmone imbalances, mood swings, fatigue, weight changes,,,,,,,,
Harmone imbalances,irregular periods, fatigue, weight changes,,,,,,,,
Harmone imbalances,irregular periods, mood swings, weight changes,,,,,,,,
Harmone imbalances,irregular periods, mood swings, fatigue,,,,,,,,
Heart Disease,chest pain, shortness of breath, fatigue, nausea, lightheadedness," pain in shoulders, neck, jaw, or arms",,,,,
Heart Disease, shortness of breath, fatigue, nausea, lightheadedness," pain in shoulders, neck, jaw, or arms",,,,,,
Heart Disease,chest pain, fatigue, nausea, lightheadedness," pain in shoulders, neck, jaw, or arms",,,,,,
Heart Disease,chest pain, shortness of breath, nausea, lightheadedness," pain in shoulders, neck, jaw, or arms",,,,,,
Heart Disease,chest pain, shortness of breath, fatigue, lightheadedness," pain in shoulders, neck, jaw, or arms",,,,,,
Heart Disease,chest pain, shortness of breath, fatigue, nausea," pain in shoulders, neck, jaw, or arms",,,,,,
Heart Disease,chest pain, shortness of breath, fatigue, nausea, lightheadedness,,,,,,
HIV/AIDS,fever, fatigue, sore throat, swollen lymph nodes, skin rashes, muscle pain, joint pain, night sweats, recurrent infections, weight loss, diarrhea
HIV/AIDS, fatigue, sore throat, swollen lymph nodes, skin rashes, muscle pain, joint pain, night sweats, recurrent infections, weight loss, diarrhea,
HIV/AIDS,fever, sore throat, swollen lymph nodes, skin rashes, muscle pain, joint pain, night sweats, recurrent infections, weight loss, diarrhea,
HIV/AIDS,fever, fatigue, swollen lymph nodes, skin rashes, muscle pain, joint pain, night sweats, recurrent infections, weight loss, diarrhea,
HIV/AIDS,fever, fatigue, sore throat, skin rashes, muscle pain, joint pain, night sweats, recurrent infections, weight loss, diarrhea,
HIV/AIDS,fever, fatigue, sore throat, swollen lymph nodes, muscle pain, joint pain, night sweats, recurrent infections, weight loss, diarrhea,
HIV/AIDS,fever, fatigue, sore throat, swollen lymph nodes, skin rashes, joint pain, night sweats, recurrent infections, weight loss, diarrhea,
HIV/AIDS,fever, fatigue, sore throat, swollen lymph nodes, skin rashes, muscle pain, night sweats, recurrent infections, weight loss, diarrhea,
HIV/AIDS,fever, fatigue, sore throat, swollen lymph nodes, skin rashes, muscle pain, joint pain, recurrent infections, weight loss, diarrhea,
HIV/AIDS,fever, fatigue, sore throat, swollen lymph nodes, skin rashes, muscle pain, joint pain, night sweats, weight loss, diarrhea,
HIV/AIDS,fever, fatigue, sore throat, swollen lymph nodes, skin rashes, muscle pain, joint pain, night sweats, recurrent infections, diarrhea,
HIV/AIDS,fever, fatigue, sore throat, swollen lymph nodes, skin rashes, muscle pain, joint pain, night sweats, recurrent infections, weight loss,
Hyperthyroidism,weight loss, irregular heartbeat, anxiety and nervousness, heat intolerance, diarrhea, sleep disturbances, absence of periods,,,,
Hyperthyroidism, irregular heartbeat, anxiety and nervousness, heat intolerance, diarrhea, sleep disturbances, absence of periods,,,,,
Hyperthyroidism,weight loss, anxiety and nervousness, heat intolerance, diarrhea, sleep disturbances, absence of periods,,,,,
Hyperthyroidism,weight loss, irregular heartbeat, heat intolerance, diarrhea, sleep disturbances, absence of periods,,,,,
Hyperthyroidism,weight loss, irregular heartbeat, anxiety and nervousness, diarrhea, sleep disturbances, absence of periods,,,,,
Hyperthyroidism,weight loss, irregular heartbeat, anxiety and nervousness, heat intolerance, sleep disturbances, absence of periods,,,,,
Hyperthyroidism,weight loss, irregular heartbeat, anxiety and nervousness, heat intolerance, diarrhea, absence of periods,,,,,
Hyperthyroidism,weight loss, irregular heartbeat, anxiety and nervousness, heat intolerance, diarrhea, sleep disturbances,,,,,
Hypothyroidism,fatigue, weakness, weight changes, dry coarse skin and hair, cold intolerance, stiffness, constipation, depression, irregular periods,,
Hypothyroidism, weakness, weight changes, dry coarse skin and hair, cold intolerance, stiffness, constipation, depression, irregular periods,,,
Hypothyroidism,fatigue, weight changes, dry coarse skin and hair, cold intolerance, stiffness, constipation, depression, irregular periods,,,
Hypothyroidism,fatigue, weakness, dry coarse skin and hair, cold intolerance, stiffness, constipation, depression, irregular periods,,,
Hypothyroidism,fatigue, weakness, weight changes, cold intolerance, stiffness, constipation, depression, irregular periods,,,
Hypothyroidism,fatigue, weakness, weight changes, dry coarse skin and hair, stiffness, constipation, depression, irregular periods,,,
Hypothyroidism,fatigue, weakness, weight changes, dry coarse skin and hair, cold intolerance, constipation, depression, irregular periods,,,
Hypothyroidism,fatigue, weakness, weight changes, dry coarse skin and hair, cold intolerance, stiffness, depression, irregular periods,,,
Hypothyroidism,fatigue, weakness, weight changes, dry coarse skin and hair, cold intolerance, stiffness, constipation, irregular periods,,,
Hypothyroidism,fatigue, weakness, weight changes, dry coarse skin and hair, cold intolerance, stiffness, constipation, depression,,,
Interstital Cystitis,pelvic pain, pelvic pressure, urgency to urinate, frequent urination, pain during intercourse,,,,,,
Interstital Cystitis, pelvic pressure, urgency to urinate, frequent urination, pain during intercourse,,,,,,,
Interstital Cystitis,pelvic pain, urgency to urinate, frequent urination, pain during intercourse,,,,,,,
Interstital Cystitis,pelvic pain, pelvic pressure, frequent urination, pain during intercourse,,,,,,,
Interstital Cystitis,pelvic pain, pelvic pressure, urgency to urinate, pain during intercourse,,,,,,,
Interstital Cystitis,pelvic pain, pelvic pressure, urgency to urinate, frequent urination,,,,,,,
Iron Deficiency Anemia,fatigue, weakness, pale skin, shortness of breath, cold hands and feet, brittle nails, headaches, irritability, palpitations, unusual cravings, dizziness
Iron Deficiency Anemia, weakness, pale skin, shortness of breath, cold hands and feet, brittle nails, headaches, irritability, palpitations, unusual cravings, dizziness,
Iron Deficiency Anemia,fatigue, pale skin, shortness of breath, cold hands and feet, brittle nails, headaches, irritability, palpitations, unusual cravings, dizziness,
Iron Deficiency Anemia,fatigue, weakness, shortness of breath, cold hands and feet, brittle nails, headaches, irritability, palpitations, unusual cravings, dizziness,
Iron Deficiency Anemia,fatigue, weakness, pale skin, cold hands and feet, brittle nails, headaches, irritability, palpitations, unusual cravings, dizziness,
Iron Deficiency Anemia,fatigue, weakness, pale skin, shortness of breath, brittle nails, headaches, irritability, palpitations, unusual cravings, dizziness,
Iron Deficiency Anemia,fatigue, weakness, pale skin, shortness of breath, cold hands and feet, headaches, irritability, palpitations, unusual cravings, dizziness,
Iron Deficiency Anemia,fatigue, weakness, pale skin, shortness of breath, cold hands and feet, brittle nails, irritability, palpitations, unusual cravings, dizziness,
Iron Deficiency Anemia,fatigue, weakness, pale skin, shortness of breath, cold hands and feet, brittle nails, headaches, palpitations, unusual cravings, dizziness,
Iron Deficiency Anemia,fatigue, weakness, pale skin, shortness of breath, cold hands and feet, brittle nails, headaches, irritability, unusual cravings, dizziness,
Iron Deficiency Anemia,fatigue, weakness, pale skin, shortness of breath, cold hands and feet, brittle nails, headaches, irritability, palpitations, dizziness,
Iron Deficiency Anemia,fatigue, weakness, pale skin, shortness of breath, cold hands and feet, brittle nails, headaches, irritability, palpitations, unusual cravings,
Lupus,joint pain, stiffness, fatigue, skin rashes, fever, swelling, chest pain, hair loss,mouth sores, photosensitivity,
Lupus, stiffness, fatigue, skin rashes, fever, swelling, chest pain, hair loss,mouth sores, photosensitivity,,
Lupus,joint pain, fatigue, skin rashes, fever, swelling, chest pain, hair loss,mouth sores, photosensitivity,,
Lupus,joint pain, stiffness, skin rashes, fever, swelling, chest pain, hair loss,mouth sores, photosensitivity,,
Lupus,joint pain, stiffness, fatigue, fever, swelling, chest pain, hair loss,mouth sores, photosensitivity,,
Lupus,joint pain, stiffness, fatigue, skin rashes, swelling, chest pain, hair loss,mouth sores, photosensitivity,,
Lupus,joint pain, stiffness, fatigue, skin rashes, fever, chest pain, hair loss,mouth sores, photosensitivity,,
Lupus,joint pain, stiffness, fatigue, skin rashes, fever, swelling, hair loss,mouth sores, photosensitivity,,
Lupus,joint pain, stiffness, fatigue, skin rashes, fever, swelling, chest pain,mouth sores, photosensitivity,,
Lupus,joint pain, stiffness, fatigue, skin rashes, fever, swelling, chest pain, hair loss, photosensitivity,,
Lupus,joint pain, stiffness, fatigue, skin rashes, fever, swelling, chest pain, hair loss,mouth sores,,
Menopause-related issues,hot flashes, night sweats, sleep disturbances, mood swings, vaginal dryness,,,,,,
Menopause-related issues, night sweats, sleep disturbances, mood swings, vaginal dryness,,,,,,,
Menopause-related issues,hot flashes, sleep disturbances, mood swings, vaginal dryness,,,,,,,
Menopause-related issues,hot flashes, night sweats, mood swings, vaginal dryness,,,,,,,
Menopause-related issues,hot flashes, night sweats, sleep disturbances, vaginal dryness,,,,,,,
Menopause-related issues,hot flashes, night sweats, sleep disturbances, mood swings,,,,,,,
Menstrual and disorders,irregular periods, heavy menstrual bleeding, painful periods, mood swings, breast tenderness, bloating, fatigue, change in appetite,,,
Menstrual and disorders, heavy menstrual bleeding, painful periods, mood swings, breast tenderness, bloating, fatigue, change in appetite,,,,
Menstrual and disorders,irregular periods, painful periods, mood swings, breast tenderness, bloating, fatigue, change in appetite,,,,
Menstrual and disorders,irregular periods, heavy menstrual bleeding, mood swings, breast tenderness, bloating, fatigue, change in appetite,,,,
Menstrual and disorders,irregular periods, heavy menstrual bleeding, painful periods, breast tenderness, bloating, fatigue, change in appetite,,,,
Menstrual and disorders,irregular periods, heavy menstrual bleeding, painful periods, mood swings, bloating, fatigue, change in appetite,,,,
Menstrual and disorders,irregular periods, heavy menstrual bleeding, painful periods, mood swings, breast tenderness, fatigue, change in appetite,,,,
Menstrual and disorders,irregular periods, heavy menstrual bleeding, painful periods, mood swings, breast tenderness, bloating, change in appetite,,,,
Menstrual and disorders,irregular periods, heavy menstrual bleeding, painful periods, mood swings, breast tenderness, bloating, fatigue,,,,
Migraines,headaches, nausea, sensitivity to light and sound, visual disturbances,,,,,,,
Migraines, nausea, sensitivity to light and sound, visual disturbances,,,,,,,,
Migraines,headaches, sensitivity to light and sound, visual disturbances,,,,,,,,
Migraines,headaches, nausea, visual disturbances,,,,,,,,
Migraines,headaches, nausea, sensitivity to light and sound,,,,,,,,
Osteoporosis,loss of height over time, back pain, stooped posture, fractures that occur easily,,,,,,,
Osteoporosis, back pain, stooped posture, fractures that occur easily,,,,,,,,
Osteoporosis,loss of height over time, stooped posture, fractures that occur easily,,,,,,,,
Osteoporosis,loss of height over time, back pain, fractures that occur easily,,,,,,,,
Osteoporosis,loss of height over time, back pain, stooped posture,,,,,,,,
Ovarian Cancer,abdominal bloating, pelvic pain, difficulty eating or feeling full quickly, frequent urination, fatigue, changes in bowel habits, weight loss,,,,
Ovarian Cancer, pelvic pain, difficulty eating or feeling full quickly, frequent urination, fatigue, changes in bowel habits, weight loss,,,,,
Ovarian Cancer,abdominal bloating, difficulty eating or feeling full quickly, frequent urination, fatigue, changes in bowel habits, weight loss,,,,,
Ovarian Cancer,abdominal bloating, pelvic pain, frequent urination, fatigue, changes in bowel habits, weight loss,,,,,
Ovarian Cancer,abdominal bloating, pelvic pain, difficulty eating or feeling full quickly, fatigue, changes in bowel habits, weight loss,,,,,
Ovarian Cancer,abdominal bloating, pelvic pain, difficulty eating or feeling full quickly, frequent urination, changes in bowel habits, weight loss,,,,,
Ovarian Cancer,abdominal bloating, pelvic pain, difficulty eating or feeling full quickly, frequent urination, fatigue, weight loss,,,,,
Ovarian Cancer,abdominal bloating, pelvic pain, difficulty eating or feeling full quickly, frequent urination, fatigue, changes in bowel habits,,,,,
Pelvic Floor Disorders,pelvic pain, urinary incontinence, constipation, pain during sex, pelvic pressure, back pain,,,,,
Pelvic Floor Disorders, urinary incontinence, constipation, pain during sex, pelvic pressure, back pain,,,,,,
Pelvic Floor Disorders,pelvic pain, constipation, pain during sex, pelvic pressure, back pain,,,,,,
Pelvic Floor Disorders,pelvic pain, urinary incontinence, pain during sex, pelvic pressure, back pain,,,,,,
Pelvic Floor Disorders,pelvic pain, urinary incontinence, constipation, pelvic pressure, back pain,,,,,,
Pelvic Floor Disorders,pelvic pain, urinary incontinence, constipation, pain during sex, back pain,,,,,,
Pelvic Floor Disorders,pelvic pain, urinary incontinence, constipation, pain during sex, pelvic pressure,,,,,,
Pelvic Inflammatory Disease (PID),pelvic pain, abnormal vaginal discharge, pain during sex, fever, painful urination, heavy menstrual bleeding, painful ovulation,,,,
Pelvic Inflammatory Disease (PID), abnormal vaginal discharge, pain during sex, fever, painful urination, heavy menstrual bleeding, painful ovulation,,,,,
Pelvic Inflammatory Disease (PID),pelvic pain, pain during sex, fever, painful urination, heavy menstrual bleeding, painful ovulation,,,,,
Pelvic Inflammatory Disease (PID),pelvic pain, abnormal vaginal discharge, fever, painful urination, heavy menstrual bleeding, painful ovulation,,,,,
Pelvic Inflammatory Disease (PID),pelvic pain, abnormal vaginal discharge, pain during sex, painful urination, heavy menstrual bleeding, painful ovulation,,,,,
Pelvic Inflammatory Disease (PID),pelvic pain, abnormal vaginal discharge, pain during sex, fever, heavy menstrual bleeding, painful ovulation,,,,,
Pelvic Inflammatory Disease (PID),pelvic pain, abnormal vaginal discharge, pain during sex, fever, painful urination, painful ovulation,,,,,
Pelvic Inflammatory Disease (PID),pelvic pain, abnormal vaginal discharge, pain during sex, fever, painful urination, heavy menstrual bleeding,,,,,
Polycystic Ovary Syndrome (PCOS),irregular periods, heavy menstrual bleeding, acne, weight gain, hair growth on the face or body," darkening of the skin along neck creases, in the groin, and underneath breasts", skin tags, headaches,,,
Polycystic Ovary Syndrome (PCOS), heavy menstrual bleeding, acne, weight gain, hair growth on the face or body," darkening of the skin along neck creases, in the groin, and underneath breasts", skin tags, headaches,,,,
Polycystic Ovary Syndrome (PCOS),irregular periods, acne, weight gain, hair growth on the face or body," darkening of the skin along neck creases, in the groin, and underneath breasts", skin tags, headaches,,,,
Polycystic Ovary Syndrome (PCOS),irregular periods, heavy menstrual bleeding, weight gain, hair growth on the face or body," darkening of the skin along neck creases, in the groin, and underneath breasts", skin tags, headaches,,,,
Polycystic Ovary Syndrome (PCOS),irregular periods, heavy menstrual bleeding, acne, hair growth on the face or body," darkening of the skin along neck creases, in the groin, and underneath breasts", skin tags, headaches,,,,
Polycystic Ovary Syndrome (PCOS),irregular periods, heavy menstrual bleeding, acne, weight gain," darkening of the skin along neck creases, in the groin, and underneath breasts", skin tags, headaches,,,,
Polycystic Ovary Syndrome (PCOS),irregular periods, heavy menstrual bleeding, acne, weight gain, hair growth on the face or body, skin tags, headaches,,,,
Polycystic Ovary Syndrome (PCOS),irregular periods, heavy menstrual bleeding, acne, weight gain, hair growth on the face or body," darkening of the skin along neck creases, in the groin, and underneath breasts", headaches,,,,
Polycystic Ovary Syndrome (PCOS),irregular periods, heavy menstrual bleeding, acne, weight gain, hair growth on the face or body," darkening of the skin along neck creases, in the groin, and underneath breasts", skin tags,,,,
Postpartum depression,persistent sadness, sleep disturbances, fatigue, feelings of worthlessness, loss of interest or pleasure,,,,,,
Postpartum depression, sleep disturbances, fatigue, feelings of worthlessness, loss of interest or pleasure,,,,,,,
Postpartum depression,persistent sadness, fatigue, feelings of worthlessness, loss of interest or pleasure,,,,,,,
Postpartum depression,persistent sadness, sleep disturbances, feelings of worthlessness, loss of interest or pleasure,,,,,,,
Postpartum depression,persistent sadness, sleep disturbances, fatigue, loss of interest or pleasure,,,,,,,
Postpartum depression,persistent sadness, sleep disturbances, fatigue, feelings of worthlessness,,,,,,,
Pregnancy-related complications,nausea, vomiting, swelling, breast tenderness, frequent urination, fatigue, high blood pressure during pregnancy, excessive thirst, blurred vision, increased hunger during pregnancy,
Pregnancy-related complications, vomiting, swelling, breast tenderness, frequent urination, fatigue, high blood pressure during pregnancy, excessive thirst, blurred vision, increased hunger during pregnancy,,
Pregnancy-related complications,nausea, swelling, breast tenderness, frequent urination, fatigue, high blood pressure during pregnancy, excessive thirst, blurred vision, increased hunger during pregnancy,,
Pregnancy-related complications,nausea, vomiting, breast tenderness, frequent urination, fatigue, high blood pressure during pregnancy, excessive thirst, blurred vision, increased hunger during pregnancy,,
Pregnancy-related complications,nausea, vomiting, swelling, frequent urination, fatigue, high blood pressure during pregnancy, excessive thirst, blurred vision, increased hunger during pregnancy,,
Pregnancy-related complications,nausea, vomiting, swelling, breast tenderness, fatigue, high blood pressure during pregnancy, excessive thirst, blurred vision, increased hunger during pregnancy,,
Pregnancy-related complications,nausea, vomiting, swelling, breast tenderness, frequent urination, high blood pressure during pregnancy, excessive thirst, blurred vision, increased hunger during pregnancy,,
Pregnancy-related complications,nausea, vomiting, swelling, breast tenderness, frequent urination, fatigue, excessive thirst, blurred vision, increased hunger during pregnancy,,
Pregnancy-related complications,nausea, vomiting, swelling, breast tenderness, frequent urination, fatigue, high blood pressure during pregnancy, blurred vision, increased hunger during pregnancy,,
Pregnancy-related complications,nausea, vomiting, swelling, breast tenderness, frequent urination, fatigue, high blood pressure during pregnancy, excessive thirst, increased hunger during pregnancy,,
Pregnancy-related complications,nausea, vomiting, swelling, breast tenderness, frequent urination, fatigue, high blood pressure during pregnancy, excessive thirst, blurred vision,,
Premenstrual Dysphoric Disorder (PMDD),mood swings, depression, anxiety and nervousness, irritability, fatigue, difficulty concentrating,,,,,
Premenstrual Dysphoric Disorder (PMDD), depression, anxiety and nervousness, irritability, fatigue, difficulty concentrating,,,,,,
Premenstrual Dysphoric Disorder (PMDD),mood swings, anxiety and nervousness, irritability, fatigue, difficulty concentrating,,,,,,
Premenstrual Dysphoric Disorder (PMDD),mood swings, depression, irritability, fatigue, difficulty concentrating,,,,,,
Premenstrual Dysphoric Disorder (PMDD),mood swings, depression, anxiety and nervousness, fatigue, difficulty concentrating,,,,,,
Premenstrual Dysphoric Disorder (PMDD),mood swings, depression, anxiety and nervousness, irritability, difficulty concentrating,,,,,,
Premenstrual Dysphoric Disorder (PMDD),mood swings, depression, anxiety and nervousness, irritability, fatigue,,,,,,
